ID;ID;name;adress;coordinate;functional_zone;landuse;land_size;area;building_area;land_area;year_of_commissioning;year_of_termination;new_feature;new_feature_2;capacity;project_type;architectural_style;technical_condition;decoration;material;communications;link ;k1_1;k1_2;k1_3;k1_4;k1_5;k1_6;k1_7 ;k1_8;k1_9;k2_1 ;k2_2 ;k2_3 ;k2_4;k2_5;k2_6 ;k2_7 ;k2_8 ;k2_9;k3_1 ;k3_2;k3_3 ;k3_4;k3_5;k3_6 ;k4_1;k4_2;k4_3 ;k4_4;k4_5;k4_6;k4_7;k4_8;k4_9;k4_10;k4_11;k4_12;k4_13;k4_14;k4_15;k4_16;k4_17;i_1;i_2;i_3;i_4;I;potential;;
4;1;Школа № 112 Выборгского района ;г. Санкт-Петербург, проспект Пархоменко, дом 13, литера А;59.999701, 30.335748;ОД;;8298;3416,8;1330,5;844;1935;2009;административная;Налоговая инспекция Выборгского района;880;"Институт ""Ленпроект"", 6 мастерская, Троцкий Н. А., Мартынов А. С.";Сталинский неоклассицзим;Исправное;Нет;Кирпич, дерево, металл;Подключено;https://www.citywalls.ru/house11505.html;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0,777777778;0,888888889;1;0,764705882;3,43;высокий;;
61;2;Школа N655;г. Санкт-Петербург, Крупской ул., 9;59.891105, 30.434320;Ж;ЗРЗ;4780;3336;834;397;1935;2010;административная;Здание мировых судей;440;Типовой проект Суслова О.В., Модзалевский А.В.;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house2841.html;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0,777777778;0,888888889;1;0,647058824;3,31;высокий;;
52;3;Школа;г. Санкт-Петербург, Крестовский пр,  18А;59.968763, 30.261089;Д;ОЗРЗ-2;17119;3916;979;648;1938;1941;социальная;Больница;880;Типовой проект, тип ШБ, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Да;Кирпич, дерево;Подключено;https://www.citywalls.ru/house18877.html;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;1;0,888888889;0,666666667;1;0,705882353;3,26;высокий;;
38;4;Школа;г. Санкт-Петербург, Лабораторная ул., 13;59.975036, 30.385550;Д;;12978;8493;2831;2876;1934;1992;административная;Центр МЧС;1600;Ленпроект, Печенев В.И.;;Работоспособное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/photo698725.html;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0,444444444;0,888888889;1;0,764705882;3,10;высокий;;
47;5;Школа;г. Санкт-Петербург, ул. Седова,  54к3;59.887124, 30.425741;Ж;ЗРЗ;8459;3932;983;1864;1937;1988;административная;Центр инзоляции для несовершенолетних;440;Типовой проект, тип ШБ, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house16700.html;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0,777777778;1;1;0,294117647;3,07;высокий;;
8;6;Школа;г. Санкт-Петербург, улица Маршала Говорова, дом 38, литера А;59.892947, 30.279891;ОД;ЗРЗ;6337;7362;2454;1361;1936;2002;административная;Кировский федеральный суд;880;Типовой проект, Гинцберг А.С., Асс Л.Е.;Сталинский неоклассицзим;Исправное;Да;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house14745.html;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0,444444444;0,777777778;1;0,823529412;3,05;высокий;;
1;7;Школа ФЗУ Ленэнерго;Г. Санкт-Петербург, ул. Пугачева, д. 5-7;59.949893, 30.418222;Ж;ОЗРЗ-2;23634;7003;4804;841;1933;1965;производственная;"Центральное производственное ремонтное предприятие (ЦПРП) ""Ленэнерго""";800;Индивидуальный проект;Конструктивизм;Исправное;Да;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house10117.html;0;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;;1;0;1;0;1;1;1;0;1;1;1;0;0,666666667;0,888888889;0,833333333;0,647058824;3,04;высокий;;
55;8;Школа;г. Санкт-Петербург, Республиканская ул.,16;59.933956, 30.409428;Ж;;992;3968;992;0;1939;1980;административная;Военкомат;880;Типовой проект, тип III, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house12837.html;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0,444444444;0,888888889;1;0,647058824;2,98;средний;;
54;9;Школа;г. Санкт-Петербург, Минеральная ул., 3;59.966529, 30.381436;Д;;4562;3728;932;0;1939;2009;административная;Управление внутренних дел;440;;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house14771.html;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0,777777778;0,888888889;1;0,294117647;2,96;средний;;
56;10;Школа N152;г. Санкт-Петербург, Таллинская ул.,7;59.923072, 30.412024;П;;2490;3644;911;0;1940;1970;офисная;Офисный центр;880;Типовой проект, тип III, арх-ры Асс Л. Е., Гинцберг А. С;Сталинский неоклассицзим;Исправное;Нет;Кирпич, железобетон, металл;Подключено;https://www.citywalls.ru/house16924.html;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0,222222222;0,777777778;1;0,941176471;2,94;средний;;
